week_start,ios_ count_uniq_cid,ios_ count_rows,ios_ log_positions_consumed,android_ count_uniq_cid,android_ count_rows,android_ log_positions_consumed
4/30/2018,1458759,5080309,44.75,2595250,8647647,45.37
5/7/2018,1537662,5905990,45.02,2760847,10057089,45.62
5/14/2018,1544096,5953369,45.02,2775627,10133486,45.65
5/21/2018,1556522,5969074,45.03,2796454,10202679,45.68
5/28/2018,2328240,6028415,87.78,4188854,10489115,89.13
6/4/2018,1565642,6041378,45.06,2819244,10352958,45.69
6/11/2018,1548799,6019991,45.05,2805308,10362083,45.69
6/18/2018,1558865,6048743,45.06,2829342,10447922,45.73
6/25/2018,2107951,6076870,86.52,3850935,10585579,87.91
7/2/2018,1568632,6098218,45.1,2904416,10786980,45.83
7/9/2018,1576517,6149077,45.07,2891917,10690012,45.75
7/16/2018,1597579,6196185,45.07,2920650,10742372,45.75
7/23/2018,1602508,6239451,45.08,2916457,10824118,45.78
7/30/2018,2344532,6223602,87.41,4217860,10791015,88.83
8/6/2018,1583973,6204010,45.06,2889258,10738759,45.76
8/13/2018,1574977,6171930,45.05,2880092,10709226,45.74
8/20/2018,1588114,6205342,45.05,2899631,10774212,45.74
8/27/2018,2284632,6256957,87.37,4196501,10996487,88.84
9/3/2018,1613498,6289980,45.08,3000576,11125188,45.83
9/10/2018,1604358,6251549,45.03,2990730,11051815,45.76
9/17/2018,1607454,6339589,45.08,2998951,11191996,45.79
9/24/2018,1575319,6144712,44.99,2919521,10762335,45.7
10/1/2018,1571846,6145712,44.99,2941573,10863579,45.71
10/8/2018,1577056,6166838,45,2950422,10955398,45.74
10/15/2018,1559576,6085695,44.95,2916306,10814383,45.69
10/22/2018,1544778,5971786,44.92,2879160,10544019,45.67
10/29/2018,2259569,5858220,87.34,4097522,10194108,88.75
11/5/2018,1519777,5892769,44.9,2793119,10228892,45.6
11/12/2018,1508762,5830074,44.86,2780290,10199077,45.58
11/19/2018,1474630,5617935,44.83,2708829,9914161,45.57
11/26/2018,2169935,5888879,86.99,3939172,10282929,88.42
12/3/2018,1490123,5764661,44.83,2713176,10007128,45.52
12/10/2018,1474561,5743363,44.81,2682825,9971806,45.5
12/17/2018,1466246,5692025,44.79,2691205,9986627,45.49
12/24/2018,1526869,5842607,44.98,2863111,10621202,45.77
12/31/2018,2204876,6261593,86.67,4172315,11562874,88.35
1/7/2019,1617450,6259445,45.05,3044387,11318879,45.82
1/14/2019,1615058,6257399,45.04,3043874,11297385,45.81
1/21/2019,1619566,6287764,45.07,3060453,11392226,45.85
1/28/2019,2380470,6217431,87.64,4453188,11299060,89.2
2/4/2019,1586660,6176466,45.02,3002902,11188496,45.8
2/11/2019,1578240,6177114,45.03,2986437,11201123,45.8
2/18/2019,1600305,6239283,45.05,3038033,11425016,45.86
2/25/2019,2355651,6127779,87.52,4408193,11141905,89.09
3/4/2019,1576543,6126207,45,2986552,11166197,45.78
3/11/2019,1555029,6064222,44.96,2930923,10992836,45.76
3/18/2019,1546395,6061154,44.97,2913787,10965905,45.76
3/25/2019,1551764,6088805,44.97,2917543,11010464,45.77
4/1/2019,1543459,6060555,44.96,2916195,11003965,45.74
4/8/2019,1536711,6041924,44.95,2888002,10906416,45.72
4/15/2019,1524284,5966888,44.92,2866556,10810305,45.71
4/22/2019,1527364,5999526,44.95,2873470,10930683,45.75
4/29/2019,2171233,5592888,86.95,4165247,10808861,88.69
5/6/2019,1448038,5463741,44.77,2825823,10726288,45.69
5/13/2019,1458316,5500874,44.82,2852652,10850543,45.72
5/20/2019,1468895,5503994,44.81,2869274,10892867,45.73
5/27/2019,1301193,4043849,44.3,2545068,8102906,45.27
