week_start,android_count_uniq_cid,android_count_rows,ios_count_uniq_cid,ios_count_rows
4/30/2018,14041,31501,18154,39623
5/7/2018,15976,39581,21582,50658
5/14/2018,16130,40420,22458,52495
5/21/2018,15623,38720,21108,49317
5/28/2018,19374,40133,25901,50152
6/4/2018,16493,40656,21654,50735
6/11/2018,16771,41873,20288,48870
6/18/2018,16590,41516,21467,51789
6/25/2018,19020,40765,26201,52822
7/2/2018,16133,41931,23404,58163
7/9/2018,16763,43755,23921,57933
7/16/2018,17142,44727,25498,62553
7/23/2018,16622,43771,23432,57291
7/30/2018,17305,39749,27814,58702
8/6/2018,15445,39246,24125,59258
8/13/2018,17199,42371,24734,58157
8/20/2018,17953,44963,29394,66555
8/27/2018,22167,45615,38100,69896
9/3/2018,21487,54623,36414,84608
9/10/2018,17981,45077,28539,65644
9/17/2018,17447,44690,26396,61919
9/24/2018,16891,42371,23771,55545
10/1/2018,15628,41059,22493,52305
10/8/2018,15618,40782,22638,52709
10/15/2018,15781,39437,23473,55687
10/22/2018,14847,38435,22321,55044
10/29/2018,17503,38536,25213,51062
11/5/2018,14654,37517,22087,51814
11/12/2018,13242,35667,18907,46623
11/19/2018,14458,35922,20222,47670
11/26/2018,18803,40603,30567,59771
12/3/2018,14904,40361,22028,52501
12/10/2018,14559,38142,20346,48625
12/17/2018,14546,38257,20974,50616
12/24/2018,19623,49489,28403,67752
12/31/2018,19675,48193,32294,76138
1/7/2019,18994,47761,32603,74369
1/14/2019,18571,46340,31470,70198
1/21/2019,18414,45190,29780,66167
1/28/2019,20915,42736,34097,64044
2/4/2019,15788,38584,25748,59255
2/11/2019,15272,37344,23918,54509
2/18/2019,16086,39918,25621,59865
2/25/2019,18325,37794,27799,52712
3/4/2019,15388,38289,21147,47577
3/11/2019,13888,34813,19425,42507
3/18/2019,13105,32152,18879,41782
3/25/2019,13101,32645,18738,41213
4/1/2019,13575,33611,18722,41956
4/8/2019,13402,32172,18102,39816
4/15/2019,12488,31005,17370,38355
4/22/2019,12343,30967,17810,40446
4/29/2019,11583,23698,20090,40293
5/6/2019,9860,22427,16656,37042
5/13/2019,10266,24011,17458,39212
5/20/2019,9777,22486,17271,38725
5/27/2019,7093,14300,12875,26215
